tanggal,lokasi,parameter,nilai,satuan
2025-01-25,Gedung_D,Water,544.53,L
2025-01-25,Gedung_D,CO2,385.07,ppm
2025-01-25,Gedung_D,Waste,59.68,kg
2025-01-25,Gedung_E,Energy,238.88,kWh
2025-01-25,Gedung_E,Water,269.02,L
2025-01-25,Gedung_E,CO2,863.58,ppm
2025-01-25,Gedung_E,Waste,6.75,kg
2025-01-25,Gedung_F,Energy,149.51,kWh
2025-01-25,Gedung_F,Water,968.97,L
2025-01-25,Gedung_F,CO2,771.21,ppm
2025-01-25,Gedung_F,Waste,58.81,kg
2025-01-25,Gedung_G,Energy,189.8,kWh
2025-01-25,Gedung_G,Water,620.36,L
2025-01-25,Gedung_G,CO2,896.07,ppm
2025-01-25,Gedung_G,Waste,26.04,kg
2025-01-25,Gedung_H,Energy,227.84,kWh
2025-01-25,Gedung_H,Water,1106.77,L
2025-01-25,Gedung_H,CO2,556.61,ppm
2025-01-25,Gedung_H,Waste,42.55,kg
2025-01-25,Gedung_I,Energy,192.5,kWh
2025-01-25,Gedung_I,Water,739.3,L
2025-01-25,Gedung_I,CO2,709.44,ppm
2025-01-25,Gedung_I,Waste,24.13,kg
2025-01-25,Gedung_J,Energy,110.34,kWh
2025-01-25,Gedung_J,Water,737.26,L
2025-01-25,Gedung_J,CO2,640.86,ppm
2025-01-25,Gedung_J,Waste,45.03,kg
2025-01-25,Gedung_K,Energy,117.86,kWh
2025-01-25,Gedung_K,Water,203.47,L
2025-01-25,Gedung_K,CO2,362.5,ppm
2025-01-25,Gedung_K,Waste,21.41,kg
2025-01-25,Gedung_L,Energy,194.49,kWh
2025-01-25,Gedung_L,Water,744.45,L
2025-01-25,Gedung_L,CO2,642.56,ppm
2025-01-25,Gedung_L,Waste,50.28,kg
2025-01-25,Gedung_M,Energy,122.08,kWh
2025-01-25,Gedung_M,Water,546.16,L
2025-01-25,Gedung_M,CO2,501.61,ppm
2025-01-25,Gedung_M,Waste,56.56,kg
2025-01-25,Gedung_N,Energy,203.25,kWh
2025-01-25,Gedung_N,Water,312.84,L
2025-01-25,Gedung_N,CO2,795.21,ppm
2025-01-25,Gedung_N,Waste,28.06,kg
2025-01-25,Gedung_O,Energy,210.23,kWh
2025-01-25,Gedung_O,Water,1083.76,L
2025-01-25,Gedung_O,CO2,358.61,ppm
2025-01-25,Gedung_O,Waste,16.33,kg
2025-01-25,Gedung_P,Energy,97.15,kWh
2025-01-25,Gedung_P,Water,233.58,L
2025-01-25,Gedung_P,CO2,678.78,ppm
2025-01-25,Gedung_P,Waste,43.68,kg
2025-01-25,Gedung_Q,Energy,88.27,kWh
2025-01-25,Gedung_Q,Water,940.54,L
2025-01-25,Gedung_Q,CO2,571.25,ppm
2025-01-25,Gedung_Q,Waste,17.89,kg
2025-01-25,Gedung_R,Energy,116.94,kWh
2025-01-25,Gedung_R,Water,1063.73,L
2025-01-25,Gedung_R,CO2,381.04,ppm
2025-01-25,Gedung_R,Waste,32.71,kg
2025-01-25,Gedung_S,Energy,129.17,kWh
2025-01-25,Gedung_S,Water,1015.79,L
2025-01-25,Gedung_S,CO2,752.33,ppm
2025-01-25,Gedung_S,Waste,22.54,kg
2025-01-25,Gedung_T,Energy,181.65,kWh
2025-01-25,Gedung_T,Water,872.53,L
2025-01-25,Gedung_T,CO2,526.37,ppm
2025-01-25,Gedung_T,Waste,21.6,kg
2025-01-26,Gedung_A,Energy,104.35,kWh
2025-01-26,Gedung_A,Water,860.21,L
2025-01-26,Gedung_A,CO2,471.57,ppm
2025-01-26,Gedung_A,Waste,21.53,kg
2025-01-26,Gedung_B,Energy,90.36,kWh
2025-01-26,Gedung_B,Water,1148.52,L
2025-01-26,Gedung_B,CO2,833.84,ppm
2025-01-26,Gedung_B,Waste,55.14,kg
2025-01-26,Gedung_C,Energy,186.42,kWh
2025-01-26,Gedung_C,Water,627.2,L
2025-01-26,Gedung_C,CO2,622.59,ppm
2025-01-26,Gedung_C,Waste,58.48,kg
2025-01-26,Gedung_D,Energy,240.07,kWh
2025-01-26,Gedung_D,Water,871.34,L
2025-01-26,Gedung_D,CO2,782.19,ppm
2025-01-26,Gedung_D,Waste,22.53,kg
2025-01-26,Gedung_E,Energy,150.78,kWh
2025-01-26,Gedung_E,Water,349.22,L
2025-01-26,Gedung_E,CO2,557.05,ppm
2025-01-26,Gedung_E,Waste,46.49,kg
2025-01-26,Gedung_F,Energy,160.5,kWh
2025-01-26,Gedung_F,Water,1049.34,L
2025-01-26,Gedung_F,CO2,515.41,ppm
2025-01-26,Gedung_F,Waste,43.92,kg
2025-01-26,Gedung_G,Energy,216.98,kWh
2025-01-26,Gedung_G,Water,1114.74,L
2025-01-26,Gedung_G,CO2,659.31,ppm
2025-01-26,Gedung_G,Waste,58.23,kg
2025-01-26,Gedung_H,Energy,174.74,kWh
2025-01-26,Gedung_H,Water,334.09,L
2025-01-26,Gedung_H,CO2,483.57,ppm
2025-01-26,Gedung_H,Waste,16.18,kg
2025-01-26,Gedung_I,Energy,189.94,kWh
2025-01-26,Gedung_I,Water,1122.23,L
2025-01-26,Gedung_I,CO2,815.92,ppm
2025-01-26,Gedung_I,Waste,10.09,kg
2025-01-26,Gedung_J,Energy,203.18,kWh
2025-01-26,Gedung_J,Water,390.48,L
2025-01-26,Gedung_J,CO2,497.65,ppm
2025-01-26,Gedung_J,Waste,42.05,kg
2025-01-26,Gedung_K,Energy,182.5,kWh
2025-01-26,Gedung_K,Water,1073.62,L
2025-01-26,Gedung_K,CO2,453.49,ppm
2025-01-26,Gedung_K,Waste,46.89,kg
2025-01-26,Gedung_L,Energy,203.13,kWh
2025-01-26,Gedung_L,Water,758.85,L
2025-01-26,Gedung_L,CO2,613.67,ppm
2025-01-26,Gedung_L,Waste,52.82,kg
2025-01-26,Gedung_M,Energy,136.6,kWh
2025-01-26,Gedung_M,Water,1157.02,L
2025-01-26,Gedung_M,CO2,358.43,ppm
2025-01-26,Gedung_M,Waste,56.54,kg
2025-01-26,Gedung_N,Energy,243.55,kWh
2025-01-26,Gedung_N,Water,317.32,L
2025-01-26,Gedung_N,CO2,899.76,ppm
2025-01-26,Gedung_N,Waste,31.34,kg
2025-01-26,Gedung_O,Energy,121.24,kWh
2025-01-26,Gedung_O,Water,804.4,L
2025-01-26,Gedung_O,CO2,462.48,ppm
2025-01-26,Gedung_O,Waste,55.33,kg
2025-01-26,Gedung_P,Energy,173.85,kWh
2025-01-26,Gedung_P,Water,975.51,L
2025-01-26,Gedung_P,CO2,559.36,ppm
2025-01-26,Gedung_P,Waste,34.35,kg
2025-01-26,Gedung_Q,Energy,141.07,kWh
2025-01-26,Gedung_Q,Water,461.56,L
2025-01-26,Gedung_Q,CO2,632.05,ppm
2025-01-26,Gedung_Q,Waste,32.35,kg
2025-01-26,Gedung_R,Energy,96.76,kWh
2025-01-26,Gedung_R,Water,1181.32,L
2025-01-26,Gedung_R,CO2,608.22,ppm
2025-01-26,Gedung_R,Waste,51.19,kg
2025-01-26,Gedung_S,Energy,235.44,kWh
2025-01-26,Gedung_S,Water,570.7,L
2025-01-26,Gedung_S,CO2,577.66,ppm
2025-01-26,Gedung_S,Waste,35.94,kg
2025-01-26,Gedung_T,Energy,117.62,kWh
2025-01-26,Gedung_T,Water,345.92,L
2025-01-26,Gedung_T,CO2,493.43,ppm
2025-01-26,Gedung_T,Waste,56.41,kg
2025-01-27,Gedung_A,Energy,178.45,kWh
2025-01-27,Gedung_A,Water,617.58,L
2025-01-27,Gedung_A,CO2,433.83,ppm
2025-01-27,Gedung_A,Waste,23.14,kg
2025-01-27,Gedung_B,Energy,144.57,kWh
2025-01-27,Gedung_B,Water,1033.36,L
2025-01-27,Gedung_B,CO2,624.62,ppm
2025-01-27,Gedung_B,Waste,41.0,kg
2025-01-27,Gedung_C,Energy,196.42,kWh
2025-01-27,Gedung_C,Water,457.33,L
2025-01-27,Gedung_C,CO2,801.88,ppm
2025-01-27,Gedung_C,Waste,58.16,kg
2025-01-27,Gedung_D,Energy,189.09,kWh
2025-01-27,Gedung_D,Water,690.6,L
2025-01-27,Gedung_D,CO2,442.53,ppm
2025-01-27,Gedung_D,Waste,48.72,kg
2025-01-27,Gedung_E,Energy,108.78,kWh
2025-01-27,Gedung_E,Water,920.31,L
2025-01-27,Gedung_E,CO2,618.57,ppm
2025-01-27,Gedung_E,Waste,55.43,kg
2025-01-27,Gedung_F,Energy,172.16,kWh
2025-01-27,Gedung_F,Water,841.81,L
2025-01-27,Gedung_F,CO2,382.3,ppm
2025-01-27,Gedung_F,Waste,6.86,kg
2025-01-27,Gedung_G,Energy,223.94,kWh
2025-01-27,Gedung_G,Water,1145.19,L
2025-01-27,Gedung_G,CO2,717.52,ppm
2025-01-27,Gedung_G,Waste,47.04,kg
2025-01-27,Gedung_H,Energy,150.11,kWh
2025-01-27,Gedung_H,Water,1042.54,L
2025-01-27,Gedung_H,CO2,477.29,ppm
2025-01-27,Gedung_H,Waste,43.89,kg
2025-01-27,Gedung_I,Energy,81.55,kWh
2025-01-27,Gedung_I,Water,705.73,L
2025-01-27,Gedung_I,CO2,555.26,ppm
2025-01-27,Gedung_I,Waste,38.98,kg
2025-01-27,Gedung_J,Energy,193.35,kWh
2025-01-27,Gedung_J,Water,816.52,L
2025-01-27,Gedung_J,CO2,615.76,ppm
2025-01-27,Gedung_J,Waste,31.83,kg
2025-01-27,Gedung_K,Energy,81.12,kWh
2025-01-27,Gedung_K,Water,751.64,L
2025-01-27,Gedung_K,CO2,356.52,ppm
2025-01-27,Gedung_K,Waste,34.12,kg
2025-01-27,Gedung_L,Energy,126.71,kWh
2025-01-27,Gedung_L,Water,1177.48,L
2025-01-27,Gedung_L,CO2,359.43,ppm
2025-01-27,Gedung_L,Waste,49.72,kg
2025-01-27,Gedung_M,Energy,194.59,kWh
2025-01-27,Gedung_M,Water,1006.17,L
2025-01-27,Gedung_M,CO2,850.38,ppm
2025-01-27,Gedung_M,Waste,10.89,kg
2025-01-27,Gedung_N,Energy,96.37,kWh
2025-01-27,Gedung_N,Water,348.9,L
2025-01-27,Gedung_N,CO2,455.56,ppm
2025-01-27,Gedung_N,Waste,33.96,kg
2025-01-27,Gedung_O,Energy,218.59,kWh
2025-01-27,Gedung_O,Water,467.32,L
2025-01-27,Gedung_O,CO2,568.29,ppm
2025-01-27,Gedung_O,Waste,25.52,kg
2025-01-27,Gedung_P,Energy,149.02,kWh
2025-01-27,Gedung_P,Water,765.0,L
2025-01-27,Gedung_P,CO2,894.63,ppm
2025-01-27,Gedung_P,Waste,17.42,kg
2025-01-27,Gedung_Q,Energy,196.29,kWh
2025-01-27,Gedung_Q,Water,1047.87,L
2025-01-27,Gedung_Q,CO2,709.55,ppm
2025-01-27,Gedung_Q,Waste,52.2,kg
2025-01-27,Gedung_R,Energy,209.13,kWh
2025-01-27,Gedung_R,Water,293.5,L
2025-01-27,Gedung_R,CO2,558.6,ppm
2025-01-27,Gedung_R,Waste,35.4,kg
2025-01-27,Gedung_S,Energy,89.54,kWh
2025-01-27,Gedung_S,Water,209.45,L
2025-01-27,Gedung_S,CO2,444.26,ppm
2025-01-27,Gedung_S,Waste,32.49,kg
2025-01-27,Gedung_T,Energy,153.76,kWh
2025-01-27,Gedung_T,Water,984.38,L
2025-01-27,Gedung_T,CO2,661.22,ppm
2025-01-27,Gedung_T,Waste,52.19,kg
2025-01-28,Gedung_A,Energy,96.21,kWh
2025-01-28,Gedung_A,Water,728.16,L
2025-01-28,Gedung_A,CO2,373.4,ppm
2025-01-28,Gedung_A,Waste,16.63,kg
2025-01-28,Gedung_B,Energy,227.58,kWh
2025-01-28,Gedung_B,Water,1087.55,L
2025-01-28,Gedung_B,CO2,611.53,ppm
2025-01-28,Gedung_B,Waste,7.56,kg
2025-01-28,Gedung_C,Energy,92.64,kWh
2025-01-28,Gedung_C,Water,1125.58,L
2025-01-28,Gedung_C,CO2,844.62,ppm
2025-01-28,Gedung_C,Waste,35.99,kg
2025-01-28,Gedung_D,Energy,85.59,kWh
2025-01-28,Gedung_D,Water,1128.77,L
2025-01-28,Gedung_D,CO2,522.97,ppm
2025-01-28,Gedung_D,Waste,57.88,kg
2025-01-28,Gedung_E,Energy,179.8,kWh
2025-01-28,Gedung_E,Water,952.25,L
2025-01-28,Gedung_E,CO2,741.99,ppm
2025-01-28,Gedung_E,Waste,26.91,kg
2025-01-28,Gedung_F,Energy,93.08,kWh
2025-01-28,Gedung_F,Water,362.45,L
2025-01-28,Gedung_F,CO2,482.26,ppm
2025-01-28,Gedung_F,Waste,50.91,kg
2025-01-28,Gedung_G,Energy,146.16,kWh
2025-01-28,Gedung_G,Water,1096.53,L
2025-01-28,Gedung_G,CO2,532.45,ppm
2025-01-28,Gedung_G,Waste,46.56,kg
2025-01-28,Gedung_H,Energy,103.79,kWh
2025-01-28,Gedung_H,Water,1188.48,L
2025-01-28,Gedung_H,CO2,748.29,ppm
2025-01-28,Gedung_H,Waste,32.54,kg
2025-01-28,Gedung_I,Energy,245.63,kWh
2025-01-28,Gedung_I,Water,253.7,L
2025-01-28,Gedung_I,CO2,590.4,ppm
2025-01-28,Gedung_I,Waste,51.13,kg
2025-01-28,Gedung_J,Energy,137.9,kWh
2025-01-28,Gedung_J,Water,969.01,L
2025-01-28,Gedung_J,CO2,875.17,ppm
2025-01-28,Gedung_J,Waste,26.82,kg
2025-01-28,Gedung_K,Energy,211.5,kWh
2025-01-28,Gedung_K,Water,229.63,L
2025-01-28,Gedung_K,CO2,500.33,ppm
2025-01-28,Gedung_K,Waste,59.59,kg
2025-01-28,Gedung_L,Energy,163.4,kWh
2025-01-28,Gedung_L,Water,555.81,L
2025-01-28,Gedung_L,CO2,867.63,ppm
2025-01-28,Gedung_L,Waste,28.75,kg
2025-01-28,Gedung_M,Energy,195.55,kWh
2025-01-28,Gedung_M,Water,860.67,L
2025-01-28,Gedung_M,CO2,397.13,ppm
2025-01-28,Gedung_M,Waste,39.02,kg
2025-01-28,Gedung_N,Energy,215.67,kWh
2025-01-28,Gedung_N,Water,913.11,L
2025-01-28,Gedung_N,CO2,395.12,ppm
2025-01-28,Gedung_N,Waste,13.48,kg
2025-01-28,Gedung_O,Energy,200.99,kWh
2025-01-28,Gedung_O,Water,833.9,L
2025-01-28,Gedung_O,CO2,756.81,ppm
2025-01-28,Gedung_O,Waste,22.42,kg
2025-01-28,Gedung_P,Energy,98.11,kWh
2025-01-28,Gedung_P,Water,205.2,L
2025-01-28,Gedung_P,CO2,519.55,ppm
2025-01-28,Gedung_P,Waste,24.8,kg
2025-01-28,Gedung_Q,Energy,125.86,kWh
2025-01-28,Gedung_Q,Water,332.51,L
2025-01-28,Gedung_Q,CO2,453.07,ppm
2025-01-28,Gedung_Q,Waste,29.69,kg
2025-01-28,Gedung_R,Energy,174.31,kWh
2025-01-28,Gedung_R,Water,608.04,L
2025-01-28,Gedung_R,CO2,364.44,ppm
2025-01-28,Gedung_R,Waste,24.47,kg
2025-01-28,Gedung_S,Energy,95.82,kWh
2025-01-28,Gedung_S,Water,798.04,L
2025-01-28,Gedung_S,CO2,528.44,ppm
2025-01-28,Gedung_S,Waste,26.19,kg
2025-01-28,Gedung_T,Energy,129.61,kWh
2025-01-28,Gedung_T,Water,587.8,L
2025-01-28,Gedung_T,CO2,396.58,ppm
2025-01-28,Gedung_T,Waste,54.56,kg
2025-01-29,Gedung_A,Energy,233.89,kWh
2025-01-29,Gedung_A,Water,1178.17,L
2025-01-29,Gedung_A,CO2,664.58,ppm
2025-01-29,Gedung_A,Waste,14.33,kg
2025-01-29,Gedung_B,Energy,144.72,kWh
2025-01-29,Gedung_B,Water,338.84,L
2025-01-29,Gedung_B,CO2,515.62,ppm
2025-01-29,Gedung_B,Waste,32.12,kg
2025-01-29,Gedung_C,Energy,90.76,kWh
2025-01-29,Gedung_C,Water,634.68,L
2025-01-29,Gedung_C,CO2,581.61,ppm
2025-01-29,Gedung_C,Waste,31.63,kg
2025-01-29,Gedung_D,Energy,93.08,kWh
2025-01-29,Gedung_D,Water,451.7,L
2025-01-29,Gedung_D,CO2,485.62,ppm
2025-01-29,Gedung_D,Waste,39.38,kg
2025-01-29,Gedung_E,Energy,180.95,kWh
2025-01-29,Gedung_E,Water,395.55,L
2025-01-29,Gedung_E,CO2,408.83,ppm
2025-01-29,Gedung_E,Waste,21.76,kg
2025-01-29,Gedung_F,Energy,241.3,kWh
2025-01-29,Gedung_F,Water,532.22,L
2025-01-29,Gedung_F,CO2,691.11,ppm
2025-01-29,Gedung_F,Waste,49.22,kg
2025-01-29,Gedung_G,Energy,136.02,kWh
2025-01-29,Gedung_G,Water,534.74,L
2025-01-29,Gedung_G,CO2,798.51,ppm
2025-01-29,Gedung_G,Waste,52.27,kg
2025-01-29,Gedung_H,Energy,245.62,kWh
2025-01-29,Gedung_H,Water,336.12,L
2025-01-29,Gedung_H,CO2,526.37,ppm
2025-01-29,Gedung_H,Waste,57.1,kg
2025-01-29,Gedung_I,Energy,114.14,kWh
2025-01-29,Gedung_I,Water,514.18,L
2025-01-29,Gedung_I,CO2,880.52,ppm
2025-01-29,Gedung_I,Waste,58.28,kg
2025-01-29,Gedung_J,Energy,129.55,kWh
2025-01-29,Gedung_J,Water,894.96,L
2025-01-29,Gedung_J,CO2,620.05,ppm
2025-01-29,Gedung_J,Waste,36.67,kg
2025-01-29,Gedung_K,Energy,121.21,kWh
2025-01-29,Gedung_K,Water,576.06,L
2025-01-29,Gedung_K,CO2,799.07,ppm
2025-01-29,Gedung_K,Waste,26.61,kg
2025-01-29,Gedung_L,Energy,99.36,kWh
2025-01-29,Gedung_L,Water,763.85,L
2025-01-29,Gedung_L,CO2,675.72,ppm
2025-01-29,Gedung_L,Waste,35.01,kg
2025-01-29,Gedung_M,Energy,195.89,kWh
2025-01-29,Gedung_M,Water,750.1,L
2025-01-29,Gedung_M,CO2,874.15,ppm
2025-01-29,Gedung_M,Waste,30.39,kg
2025-01-29,Gedung_N,Energy,200.42,kWh
2025-01-29,Gedung_N,Water,638.45,L
2025-01-29,Gedung_N,CO2,510.23,ppm
2025-01-29,Gedung_N,Waste,43.11,kg
2025-01-29,Gedung_O,Energy,219.22,kWh
2025-01-29,Gedung_O,Water,995.66,L
2025-01-29,Gedung_O,CO2,575.03,ppm
2025-01-29,Gedung_O,Waste,32.46,kg
2025-01-29,Gedung_P,Energy,187.67,kWh
2025-01-29,Gedung_P,Water,442.02,L
2025-01-29,Gedung_P,CO2,712.26,ppm
2025-01-29,Gedung_P,Waste,44.34,kg
2025-01-29,Gedung_Q,Energy,214.14,kWh
2025-01-29,Gedung_Q,Water,273.97,L
2025-01-29,Gedung_Q,CO2,894.89,ppm
2025-01-29,Gedung_Q,Waste,31.36,kg
2025-01-29,Gedung_R,Energy,148.14,kWh
2025-01-29,Gedung_R,Water,706.61,L
2025-01-29,Gedung_R,CO2,856.22,ppm
2025-01-29,Gedung_R,Waste,43.04,kg
2025-01-29,Gedung_S,Energy,172.42,kWh
2025-01-29,Gedung_S,Water,990.72,L
2025-01-29,Gedung_S,CO2,547.74,ppm
2025-01-29,Gedung_S,Waste,54.25,kg
2025-01-29,Gedung_T,Energy,171.27,kWh
2025-01-29,Gedung_T,Water,838.18,L
2025-01-29,Gedung_T,CO2,396.74,ppm
2025-01-29,Gedung_T,Waste,47.29,kg
2025-01-30,Gedung_A,Energy,191.79,kWh
2025-01-30,Gedung_A,Water,555.01,L
2025-01-30,Gedung_A,CO2,705.85,ppm
2025-01-30,Gedung_A,Waste,7.44,kg
2025-01-30,Gedung_B,Energy,247.21,kWh
2025-01-30,Gedung_B,Water,877.47,L
2025-01-30,Gedung_B,CO2,569.79,ppm
2025-01-30,Gedung_B,Waste,46.4,kg
2025-01-30,Gedung_C,Energy,244.17,kWh
2025-01-30,Gedung_C,Water,630.46,L
2025-01-30,Gedung_C,CO2,355.8,ppm
2025-01-30,Gedung_C,Waste,19.23,kg
2025-01-30,Gedung_D,Energy,166.81,kWh
2025-01-30,Gedung_D,Water,718.8,L
2025-01-30,Gedung_D,CO2,669.29,ppm
2025-01-30,Gedung_D,Waste,36.64,kg
2025-01-30,Gedung_E,Energy,155.78,kWh
2025-01-30,Gedung_E,Water,591.13,L
2025-01-30,Gedung_E,CO2,774.79,ppm
2025-01-30,Gedung_E,Waste,37.37,kg
2025-01-30,Gedung_F,Energy,165.08,kWh
2025-01-30,Gedung_F,Water,544.97,L
2025-01-30,Gedung_F,CO2,363.51,ppm
2025-01-30,Gedung_F,Waste,10.75,kg
2025-01-30,Gedung_G,Energy,150.72,kWh
2025-01-30,Gedung_G,Water,1161.73,L
2025-01-30,Gedung_G,CO2,413.84,ppm
2025-01-30,Gedung_G,Waste,56.74,kg
2025-01-30,Gedung_H,Energy,104.08,kWh
2025-01-30,Gedung_H,Water,511.89,L
2025-01-30,Gedung_H,CO2,600.43,ppm
2025-01-30,Gedung_H,Waste,16.38,kg
2025-01-30,Gedung_I,Energy,162.1,kWh
2025-01-30,Gedung_I,Water,676.16,L
2025-01-30,Gedung_I,CO2,590.99,ppm
2025-01-30,Gedung_I,Waste,43.32,kg
2025-01-30,Gedung_J,Energy,134.21,kWh
2025-01-30,Gedung_J,Water,500.26,L
2025-01-30,Gedung_J,CO2,795.6,ppm
2025-01-30,Gedung_J,Waste,11.33,kg
2025-01-30,Gedung_K,Energy,224.36,kWh
2025-01-30,Gedung_K,Water,847.97,L
2025-01-30,Gedung_K,CO2,722.43,ppm
2025-01-30,Gedung_K,Waste,14.04,kg
2025-01-30,Gedung_L,Energy,247.26,kWh
2025-01-30,Gedung_L,Water,443.91,L
2025-01-30,Gedung_L,CO2,445.95,ppm
2025-01-30,Gedung_L,Waste,13.81,kg
2025-01-30,Gedung_M,Energy,175.17,kWh
2025-01-30,Gedung_M,Water,1158.46,L
2025-01-30,Gedung_M,CO2,477.52,ppm
2025-01-30,Gedung_M,Waste,27.28,kg
2025-01-30,Gedung_N,Energy,111.36,kWh
2025-01-30,Gedung_N,Water,840.48,L
2025-01-30,Gedung_N,CO2,587.67,ppm
2025-01-30,Gedung_N,Waste,6.61,kg
2025-01-30,Gedung_O,Energy,184.4,kWh
2025-01-30,Gedung_O,Water,397.32,L
2025-01-30,Gedung_O,CO2,675.71,ppm
2025-01-30,Gedung_O,Waste,26.39,kg
2025-01-30,Gedung_P,Energy,199.81,kWh
2025-01-30,Gedung_P,Water,405.78,L
2025-01-30,Gedung_P,CO2,763.78,ppm
2025-01-30,Gedung_P,Waste,49.48,kg
2025-01-30,Gedung_Q,Energy,90.64,kWh
2025-01-30,Gedung_Q,Water,301.75,L
2025-01-30,Gedung_Q,CO2,829.59,ppm
2025-01-30,Gedung_Q,Waste,15.28,kg
2025-01-30,Gedung_R,Energy,135.42,kWh
2025-01-30,Gedung_R,Water,657.55,L
2025-01-30,Gedung_R,CO2,494.29,ppm
2025-01-30,Gedung_R,Waste,52.45,kg
2025-01-30,Gedung_S,Energy,169.71,kWh
2025-01-30,Gedung_S,Water,839.11,L
2025-01-30,Gedung_S,CO2,678.33,ppm
2025-01-30,Gedung_S,Waste,38.62,kg
2025-01-30,Gedung_T,Energy,179.79,kWh
2025-01-30,Gedung_T,Water,547.92,L
2025-01-30,Gedung_T,CO2,815.03,ppm
2025-01-30,Gedung_T,Waste,38.95,kg
2025-01-31,Gedung_A,Energy,218.34,kWh
2025-01-31,Gedung_A,Water,905.99,L
2025-01-31,Gedung_A,CO2,513.59,ppm
2025-01-31,Gedung_A,Waste,38.8,kg
2025-01-31,Gedung_B,Energy,94.41,kWh
2025-01-31,Gedung_B,Water,333.95,L
2025-01-31,Gedung_B,CO2,414.82,ppm
2025-01-31,Gedung_B,Waste,21.8,kg
2025-01-31,Gedung_C,Energy,111.12,kWh
2025-01-31,Gedung_C,Water,893.44,L
2025-01-31,Gedung_C,CO2,630.95,ppm
2025-01-31,Gedung_C,Waste,28.0,kg
2025-01-31,Gedung_D,Energy,103.44,kWh
2025-01-31,Gedung_D,Water,583.71,L
2025-01-31,Gedung_D,CO2,452.16,ppm
2025-01-31,Gedung_D,Waste,39.95,kg
2025-01-31,Gedung_E,Energy,197.88,kWh
2025-01-31,Gedung_E,Water,845.26,L
2025-01-31,Gedung_E,CO2,899.94,ppm
2025-01-31,Gedung_E,Waste,35.52,kg
2025-01-31,Gedung_F,Energy,163.24,kWh
2025-01-31,Gedung_F,Water,340.3,L
2025-01-31,Gedung_F,CO2,523.02,ppm
2025-01-31,Gedung_F,Waste,29.81,kg
2025-01-31,Gedung_G,Energy,89.11,kWh
2025-01-31,Gedung_G,Water,559.04,L
2025-01-31,Gedung_G,CO2,355.27,ppm
2025-01-31,Gedung_G,Waste,12.51,kg
2025-01-31,Gedung_H,Energy,218.59,kWh
2025-01-31,Gedung_H,Water,1163.83,L
2025-01-31,Gedung_H,CO2,627.99,ppm
2025-01-31,Gedung_H,Waste,32.22,kg
2025-01-31,Gedung_I,Energy,196.4,kWh
2025-01-31,Gedung_I,Water,615.63,L
2025-01-31,Gedung_I,CO2,811.94,ppm
2025-01-31,Gedung_I,Waste,31.88,kg
2025-01-31,Gedung_J,Energy,94.05,kWh
2025-01-31,Gedung_J,Water,230.86,L
2025-01-31,Gedung_J,CO2,768.58,ppm
2025-01-31,Gedung_J,Waste,21.06,kg
2025-01-31,Gedung_K,Energy,126.72,kWh
2025-01-31,Gedung_K,Water,737.61,L
2025-01-31,Gedung_K,CO2,442.51,ppm
2025-01-31,Gedung_K,Waste,30.15,kg
2025-01-31,Gedung_L,Energy,206.23,kWh
2025-01-31,Gedung_L,Water,965.92,L
2025-01-31,Gedung_L,CO2,652.35,ppm
2025-01-31,Gedung_L,Waste,11.23,kg
2025-01-31,Gedung_M,Energy,99.42,kWh
2025-01-31,Gedung_M,Water,975.11,L
2025-01-31,Gedung_M,CO2,802.81,ppm
2025-01-31,Gedung_M,Waste,25.18,kg
2025-01-31,Gedung_N,Energy,219.84,kWh
2025-01-31,Gedung_N,Water,241.61,L
2025-01-31,Gedung_N,CO2,745.44,ppm
2025-01-31,Gedung_N,Waste,35.05,kg
2025-01-31,Gedung_O,Energy,248.26,kWh
2025-01-31,Gedung_O,Water,302.42,L
2025-01-31,Gedung_O,CO2,806.54,ppm
2025-01-31,Gedung_O,Waste,46.32,kg
2025-01-31,Gedung_P,Energy,130.61,kWh
2025-01-31,Gedung_P,Water,1199.31,L
2025-01-31,Gedung_P,CO2,597.35,ppm
2025-01-31,Gedung_P,Waste,24.17,kg
2025-01-31,Gedung_Q,Energy,218.84,kWh
2025-01-31,Gedung_Q,Water,639.07,L
2025-01-31,Gedung_Q,CO2,896.68,ppm
2025-01-31,Gedung_Q,Waste,47.66,kg
2025-01-31,Gedung_R,Energy,120.28,kWh
2025-01-31,Gedung_R,Water,1010.7,L
2025-01-31,Gedung_R,CO2,673.36,ppm
2025-01-31,Gedung_R,Waste,24.28,kg
2025-01-31,Gedung_S,Energy,200.83,kWh
2025-01-31,Gedung_S,Water,832.77,L
2025-01-31,Gedung_S,CO2,441.29,ppm
2025-01-31,Gedung_S,Waste,12.66,kg
2025-01-31,Gedung_T,Energy,115.13,kWh
2025-01-31,Gedung_T,Water,406.94,L
2025-01-31,Gedung_T,CO2,382.65,ppm
2025-01-31,Gedung_T,Waste,24.29,kg
2025-02-01,Gedung_A,Energy,127.78,kWh
2025-02-01,Gedung_A,Water,738.77,L
2025-02-01,Gedung_A,CO2,528.01,ppm
2025-02-01,Gedung_A,Waste,43.72,kg
2025-02-01,Gedung_B,Energy,129.19,kWh
2025-02-01,Gedung_B,Water,467.34,L
2025-02-01,Gedung_B,CO2,821.91,ppm
2025-02-01,Gedung_B,Waste,59.2,kg
2025-02-01,Gedung_C,Energy,195.48,kWh
